"month","afai_mean","afai_pos_mean","sarg_pixel_frac","n_days"
2024-03-01,-0.00122243530373195,NA,0,25
2024-04-01,-0.00134421387940842,0.002149,0.00113765642775882,14
2024-05-01,-0.00137455516265912,NA,0,13
2024-06-01,-0.00132169328010645,NA,0,23
2024-07-01,-0.00131888200238379,0.002187,0.000397298371076679,20
2024-08-01,-0.00122031715362865,0.000898,0.000471253534401508,27
2024-09-01,-0.00140133441295547,0.002698,0.000809716599190283,22
2024-10-01,-0.00118902608456892,0.00136285714285714,0.00192202086765513,25
2024-11-01,-0.00129494371822803,NA,0,22
2024-12-01,-0.00119500994600739,0.00275628571428571,0.00397840295538505,25
2025-01-01,-0.0010490758270949,0.00198796153846154,0.00627867664815262,28
2025-02-01,-0.00105120464285714,0.0015185625,0.00571428571428571,25
2025-03-01,-0.000932181102362205,0.001562,0.00062992125984252,20
2025-04-01,-0.00152471238938053,NA,0,14
2025-05-01,-0.00156128499832944,NA,0,23
2025-06-01,-0.00167602813965607,NA,0,16
2025-07-01,-0.00128164751958225,0.00120266666666667,0.00335695635956733,18
2025-08-01,-0.00133150740740741,0.0019551,0.00246913580246914,25
2025-09-01,-0.00148780320310604,0.00151466666666667,0.000727978645959719,25
2025-10-01,-0.00150058446671439,0.001089,0.000715819613457409,20
2025-11-01,-0.00150467772814295,0.0016895,0.000638162093171666,23
2025-12-01,-0.0014086522548614,0.00303135294117647,0.00351675630947456,31
2026-01-01,-0.00145930052643626,0.00271257142857143,0.00160219729915312,31
2026-02-01,-0.00157654594594595,0.001383,0.00202702702702703,25
2026-03-01,-0.00158419103713188,0.004,0.00153649167733675,24
2026-04-01,-0.0016384419047619,NA,0,9
