"month","afai_mean","afai_pos_mean","sarg_pixel_frac","n_days"
2019-10-01,-0.00124156465342521,0.000528,0.000810701256586948,22
2019-11-01,-0.00123377998196573,0.000783,0.000901713255184851,28
2019-12-01,-0.00129563745658563,0.0009745,0.000534330750734705,29
2020-01-01,-0.00115629796088223,0.001596875,0.00166458593424886,30
2020-02-01,-0.00122407531840141,NA,0,29
2020-03-01,-0.00114083261339093,0.000910666666666667,0.000809935205183585,28
2020-04-01,-0.000956359002169197,0.000528,0.000361532899493854,18
2020-05-01,-0.00157226234567901,0.000706,0.00051440329218107,16
2020-06-01,-0.0013366735042735,NA,0,19
2020-07-01,-0.00129195549805951,NA,0,22
2020-08-01,-0.00115718719909374,0.0007705,0.000566411781365052,23
2020-09-01,-0.00117161457399103,0.000761285714285714,0.0015695067264574,24
2020-10-01,-0.00115339037232042,0.000961666666666667,0.00112824370063934,23
2020-11-01,-0.00121580207134638,0.000681,0.000575373993095512,19
2020-12-01,-0.000876782857142857,0.001232128,0.0396825396825397,22
2021-01-01,-0.000896598823830222,0.000993133333333333,0.00767067246228586,24
2021-02-01,-0.00115930270405608,0.002251,0.000500751126690035,25
2021-03-01,-0.000954455204932898,0.00111066666666667,0.00217627856365615,21
2021-04-01,-0.0010198105,0.000713272727272727,0.0055,15
2021-05-01,-0.00106612474713419,NA,0,18
2021-06-01,-0.00120705875576037,NA,0,18
2021-07-01,-0.00124749262672811,NA,0,26
2021-08-01,-0.0011696684981685,0.004,0.000366300366300366,24
2021-09-01,-0.0010307115557554,0.0012735,0.00314748201438849,27
2021-10-01,-0.00125821595400647,0.00147875,0.00143729787998563,25
2021-11-01,-0.00106112433478471,0.0013702,0.00120948234155781,26
2021-12-01,-0.00114550974710221,0.00108533333333333,0.00316122233930453,27
2022-01-01,-0.000939589711641153,0.00120361904761905,0.00373798504805981,30
2022-02-01,-0.000923499411071849,0.00127858974358974,0.00918727915194346,26
2022-03-01,-0.000941909391222275,0.00129038709677419,0.0146295422369042,24
2022-04-01,-0.00121814929577465,0.000987,0.00140845070422535,18
2022-05-01,-0.00111554937988057,0.000579,0.000459347726228755,15
2022-06-01,-0.00114213346952673,NA,0,20
2022-07-01,-0.00110579668508287,0.0007575,0.000883977900552486,20
2022-08-01,-0.00118830955455132,0.00096175,0.0012911555842479,21
2022-09-01,-0.00104974035087719,0.00112055555555556,0.00242914979757085,21
2022-10-01,-0.00117769571750563,0.0028385,0.000751314800901578,20
2022-11-01,-0.00137924457593688,NA,0,17
2022-12-01,-0.00119387946428571,0.0005785,0.000558035714285714,30
2023-01-01,-0.00113640436488475,0.00082775,0.00196174595389897,31
2023-02-01,-0.00102753526414588,0.00099375,0.00107267363904532,26
2023-03-01,-0.00108593277082199,NA,0,29
2023-04-01,-0.00128723389279913,0.000604,0.000541418516513265,20
2023-05-01,-0.00127881063340991,0.00063,0.00131276665572694,20
2023-06-01,-0.00120530334335086,0.00086,0.000187828700225394,26
2023-07-01,-0.00133069652921982,NA,0,22
2023-08-01,-0.0011726211790393,NA,0,24
2023-09-01,-0.0012128722038111,0.000919333333333333,0.000621375310687655,26
2023-10-01,-0.00137274843304843,0.0015028,0.00142450142450142,26
2023-11-01,-0.00134387111581921,0.001994,0.00247175141242938,21
2023-12-01,-0.00126329225023343,0.000655,0.000622471210706505,27
2024-01-01,-0.00118133323589594,0.000502,0.000292312189418299,29
2024-02-01,-0.00108614546327412,0.000604,0.00072011521843495,24
2024-03-01,-0.00126866964570699,NA,0,24
2024-04-01,-0.00116229346003354,NA,0,17
2024-05-01,-0.00144436809392265,NA,0,13
2024-06-01,-0.0015070417827298,NA,0,22
2024-07-01,-0.0014180794213168,NA,0,20
2024-08-01,-0.00132023564567769,0.000962,0.00064034151547492,24
2024-09-01,-0.00143849829584185,NA,0,23
2024-10-01,-0.00122407558859975,0.001115,0.000495662949194548,26
2024-11-01,-0.00128171220081728,0.000971157894736842,0.00554582603619381,24
2024-12-01,-0.00123284090909091,0.00151291666666667,0.00328587075575027,24
2025-01-01,-0.00102537527114967,0.00180423913043478,0.00907118911457306,29
2025-02-01,-0.00105993484848485,0.000757333333333333,0.000757575757575758,26
2025-03-01,-0.00103672571428571,NA,0,18
2025-04-01,-0.00150524302541847,0.001549,0.000619962802231866,11
2025-05-01,-0.00148757186638063,0.00116614285714286,0.00214526509347226,18
2025-06-01,-0.00159489680232558,0.000528,0.000726744186046512,17
